route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
824-95,          0,824,"Ltd Stop - Northtown - Monroe - University - Mpls",,3,http://www.metrotransit.org/route/824,,000000
825-95,          0,825,"Ltd Stop - Northtown - St. Anthony - Mpls",,3,http://www.metrotransit.org/route/825,,000000
831-95,          2,831,"Anoka Traveler - 117th Av - Polk - Northtown",,3,http://www.metrotransit.org/route/831,,000000
850-95,          0,850,"Express - Riverdale P&R - Foley P&R - Mpls",,3,http://www.metrotransit.org/route/850,,000000
852-95,          0,852,"Express - Anoka - Coon Rapids - Northtown - Mpls",,3,http://www.metrotransit.org/route/852,,000000
854-95,          0,854,"Express - Paul Pkwy - Northdale - Northtown - Mpls",,3,http://www.metrotransit.org/route/854,,000000
860-95,          0,860,"Express - Riverdale - Northtown - St Paul",,3,http://www.metrotransit.org/route/860,,000000
865-95,          0,865,"Express - Blaine - Ham Lake - East Bethel",,3,http://www.metrotransit.org/route/865,,000000
887-95,         15,887,"Express - St Cloud Link",,3,http://www.metrotransit.org/route/887,,000000
888-95,          0,888,"Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls",,2,http://www.metrotransit.org/route/888,,000000
901-95,          0,Blue,"METRO Blue Line",,0,http://www.metrotransit.org/route/901,0055A5,FFFFFF
902-95,          0,Green,"METRO Green Line",,0,http://www.metrotransit.org/route/902,00B100,FFFFFF
906-95,         10,Blue,"METRO Blue Line",,0,http://www.metrotransit.org/route/906,0055A5,FFFFFF
921-95,          0,A Line,"A Line",,3,http://www.metrotransit.org/route/921,58595B,FFFFFF
