MESSAGE_TYPE_ID,TRANSMITTED_MESSAGE_ID,CALENDAR_ID,LATITUDE,Lat,LONGITUDE,Long,ADHERENCE,MESSAGE_TIMESTAMP,LOCAL_TIMESTAMP,Trip_Seq,DIRECTION,ODOMETER,SOURCE_HOST,ROUTE_ABBR,NODE_ABBR,FOM,MESSAGE_TYPE_TEXT
128,1051616975,120161001,449212333,44.9212333,-932204592,-93.2204592,,2016-10-01T15:10:31.030Z,2016-10-01T10:10:31.030Z,2,4,2720,2639,921,46HI,2,Verbose Pass Count
12,2764183174,120161001,449204333,44.9204333,-932205511,-93.2205511,0,2016-10-01T15:10:34.617Z,2016-10-01T10:10:31.030Z,3,4,2728,2639,921,46HI,2,Vehicle Location
12,2764183322,120161001,449196497,44.9196497,-932185330,-93.218533,-1,2016-10-01T15:11:34.617Z,2016-10-01T10:10:31.030Z,4,4,2741,2639,921,46HI,2,Vehicle Location
12,2764183328,120161001,449196530,44.919653,-932182824,-93.2182824,-1,2016-10-01T15:11:36.627Z,2016-10-01T10:10:31.030Z,5,4,2743,2639,921,46HI,2,Vehicle Location
12,2764183376,120161001,449196688,44.9196688,-932152349,-93.2152349,-1,2016-10-01T15:11:54.427Z,2016-10-01T10:10:31.030Z,6,4,2758,2639,921,46HI,2,Vehicle Location
12,2764183532,120161001,449197327,44.9197327,-932077489,-93.2077489,-1,2016-10-01T15:12:56.827Z,2016-10-01T10:10:31.030Z,7,4,2794,2639,921,46HI,2,Vehicle Location
12,2764183549,120161001,449197023,44.9197023,-932075227,-93.2075227,-1,2016-10-01T15:13:01.617Z,2016-10-01T10:10:31.030Z,8,4,2795,2639,921,46HI,2,Vehicle Location
12,2764183642,120161001,449178756,44.9178756,-932022781,-93.2022781,-1,2016-10-01T15:13:37.233Z,2016-10-01T10:10:31.030Z,9,4,2828,2639,921,46HI,2,Vehicle Location
16,1051617248,120161001,449179101,44.9179101,-931844418,-93.1844418,0,2016-10-01T15:15:43.623Z,2016-10-01T10:15:43.623Z,10,4,2915,2639,921,KEFO,2,Timepoint Crossing
12,2764184001,120161001,449179977,44.9179977,-931774754,-93.1774754,0,2016-10-01T15:15:54.437Z,2016-10-01T10:15:43.623Z,11,4,2948,2639,921,KEFO,2,Vehicle Location
12,2764184155,120161001,449179772,44.9179772,-931691325,-93.1691325,0,2016-10-01T15:16:56.837Z,2016-10-01T10:15:43.623Z,12,4,2989,2639,921,KEFO,2,Vehicle Location
12,2764184318,120161001,449201052,44.9201052,-931669028,-93.1669028,0,2016-10-01T15:17:56.833Z,2016-10-01T10:15:43.623Z,13,4,3013,2639,921,KEFO,2,Vehicle Location
128,1051617386,120161001,449201064,44.9201064,-931669012,-93.1669012,,2016-10-01T15:19:00.437Z,2016-10-01T10:19:00.437Z,14,4,3013,2639,921,KEFO,2,Verbose Pass Count
12,2764184501,120161001,449268333,44.9268333,-931669373,-93.1669373,0,2016-10-01T15:19:04.147Z,2016-10-01T10:19:00.437Z,15,4,3060,2639,921,KEFO,2,Vehicle Location
