ID,CALENDAR_ID,Literal_Time_start,LONGITUDE_start,LATITUDE_start,Literal_Time_end,LONGITUDE_end,LATITUDE_end,ROUTE_ABBR,DIRECTION,SERV_DAY_start,SERV_DAY_end,MESSAGE_COUNT
120161002-2646-11,120161002,2016-10-02 21:07:29.000000,-932203967,449211003,2016-10-02 21:51:29.700000,-931685289,450125917,921.0,4.0,Sunday,Sunday,63
120161002-2646-12,120161002,2016-10-02 21:52:25.000000,-931682089,450128259,2016-10-02 22:36:38.190000,-932204585,449213099,921.0,1.0,Sunday,Sunday,66
120161002-2646-13,120161002,2016-10-02 22:37:21.200000,-932208275,449209260,2016-10-02 23:22:22.090000,-931685238,450125589,921.0,4.0,Sunday,Sunday,63
120161002-2646-14,120161002,2016-10-02 23:23:23.697000,-931682101,450122516,2016-10-03 00:07:13.513000,-932209249,449212088,921.0,1.0,Sunday,Sunday,61
120161002-2646-15,120161002,2016-10-03 00:07:19.223000,-932209256,449210221,2016-10-03 00:53:38.123000,-931680133,450123168,921.0,4.0,Sunday,Sunday,65
120161002-2646-16,120161002,2016-10-03 00:53:40.353000,-931680133,450123168,2016-10-03 02:59:40.460000,-932427965,448642395,921.0,1.0,Sunday,Sunday,143
120161003-2646-00,120161003,2016-10-03 09:10:04.550000,-932428691,448642250,2016-10-03 09:12:23.750000,-932428691,448642250,921.0,1.0,Weekday,Weekday,4
120161003-2646-01,120161003,2016-10-03 09:12:34.560000,-932428691,448642250,2016-10-03 10:04:16.133000,-931684986,450125980,921.0,4.0,Weekday,Weekday,61
120161003-2646-02,120161003,2016-10-03 10:05:41.000000,-931685157,450125950,2016-10-03 10:49:40.763000,-932205562,449213519,921.0,1.0,Weekday,Weekday,55
120161003-2646-03,120161003,2016-10-03 10:49:50.000000,-932204915,449212983,2016-10-03 11:25:33.187000,-931682575,450126596,921.0,4.0,Weekday,Weekday,53
120161003-2646-04,120161003,2016-10-03 11:25:53.000000,-931682173,450128074,2016-10-03 12:07:46.440000,-932204671,449212909,921.0,1.0,Weekday,Weekday,57
120161003-2646-05,120161003,2016-10-03 12:08:16.000000,-932203094,449209977,2016-10-03 12:54:48.030000,-931685416,450126191,921.0,4.0,Weekday,Weekday,70
120161003-2646-06,120161003,2016-10-03 12:55:07.000000,-931681264,450128988,2016-10-03 13:37:30.127000,-932204618,449213242,921.0,1.0,Weekday,Weekday,64
120161003-2646-07,120161003,2016-10-03 13:37:57.000000,-932203924,449211195,2016-10-03 14:24:00.893000,-931681627,450127405,921.0,4.0,Weekday,Weekday,65
120161003-2646-08,120161003,2016-10-03 14:24:46.000000,-931682593,450127514,2016-10-03 15:07:10.897000,-932204807,449212936,921.0,1.0,Weekday,Weekday,61
120161003-2646-09,120161003,2016-10-03 15:07:54.000000,-932203725,449211079,2016-10-03 15:53:55.187000,-931685003,450126154,921.0,4.0,Weekday,Weekday,64
120161003-2646-10,120161003,2016-10-03 15:54:41.000000,-931683805,450126602,2016-10-03 16:36:08.410000,-932204800,449212936,921.0,1.0,Weekday,Weekday,68
120161003-2646-11,120161003,2016-10-03 16:36:53.620000,-932208574,449209306,2016-10-03 17:22:30.250000,-931685427,450125310,921.0,4.0,Weekday,Weekday,62
120161003-2646-12,120161003,2016-10-03 17:23:08.517000,-931681982,450122581,2016-10-03 18:04:50.133000,-932204854,449212710,921.0,1.0,Weekday,Weekday,62
120161003-2646-13,120161003,2016-10-03 18:05:45.280000,-932208614,449209444,2016-10-03 18:51:18.077000,-931685304,450125115,921.0,4.0,Weekday,Weekday,67
120161003-2646-14,120161003,2016-10-03 18:51:49.000000,-931682335,450127982,2016-10-03 19:33:27.977000,-932204789,449212789,921.0,1.0,Weekday,Weekday,60
120161003-2646-15,120161003,2016-10-03 19:33:56.883000,-932208607,449209690,2016-10-03 20:21:13.560000,-931685238,450125084,921.0,4.0,Weekday,Weekday,69
120161003-2646-16,120161003,2016-10-03 20:21:47.787000,-931682557,450122712,2016-10-03 21:13:39.197000,-932205815,449213084,921.0,1.0,Weekday,Weekday,68
120161003-2646-17,120161003,2016-10-03 21:13:54.000000,-932203620,449210513,2016-10-03 22:00:24.170000,-931684539,450125610,921.0,4.0,Weekday,Weekday,73
120161003-2646-18,120161003,2016-10-03 22:00:52.047000,-931680852,450122682,2016-10-03 22:52:27.560000,-932205674,449213525,921.0,1.0,Weekday,Weekday,76
120161003-2646-19,120161003,2016-10-03 22:52:41.040000,-932208634,449209397,2016-10-03 23:41:28.057000,-931685575,450125382,921.0,4.0,Weekday,Weekday,69
120161003-2646-20,120161003,2016-10-03 23:41:49.943000,-931682224,450122739,2016-10-04 01:27:40.447000,-932436071,448635112,921.0,1.0,Weekday,Weekday,125
120161004-2646-00,120161004,2016-10-04 10:41:51.957000,-932439349,448627858,2016-10-04 10:46:17.037000,-932439349,448627858,921.0,1.0,Weekday,Weekday,7
120161004-2646-01,120161004,2016-10-04 10:46:31.560000,-932439349,448627858,2016-10-04 12:03:57.020000,-931684721,450125930,921.0,4.0,Weekday,Weekday,102
120161004-2646-02,120161004,2016-10-04 12:04:16.000000,-931681724,450128666,2016-10-04 12:46:54.000000,-932204615,449212938,921.0,1.0,Weekday,Weekday,64
120161004-2646-03,120161004,2016-10-04 12:47:26.000000,-932204665,449212369,2016-10-04 13:33:31.473000,-931683632,450125983,921.0,4.0,Weekday,Weekday,70
120161004-2646-04,120161004,2016-10-04 13:34:31.000000,-931682648,450127996,2016-10-04 14:16:33.800000,-932204820,449212778,921.0,1.0,Weekday,Weekday,63
120161004-2646-05,120161004,2016-10-04 14:17:23.000000,-932204287,449211511,2016-10-04 15:04:04.480000,-931684176,450124661,921.0,4.0,Weekday,Weekday,69
120161004-2646-06,120161004,2016-10-04 15:04:29.000000,-931682245,450127316,2016-10-04 15:46:56.530000,-932204692,449212583,921.0,1.0,Weekday,Weekday,58
120161004-2646-07,120161004,2016-10-04 15:47:17.000000,-932204773,449212632,2016-10-04 16:32:17.107000,-931685488,450126085,921.0,4.0,Weekday,Weekday,63
120161004-2646-08,120161004,2016-10-04 16:33:15.900000,-931681200,450122823,2016-10-04 17:16:14.173000,-932204929,449212424,921.0,1.0,Weekday,Weekday,77
120161004-2646-09,120161004,2016-10-04 17:16:48.000000,-932204781,449212650,2016-10-04 18:00:35.470000,-931684467,450124826,921.0,4.0,Weekday,Weekday,60
120161004-2646-10,120161004,2016-10-04 18:01:25.467000,-931682402,450121950,2016-10-04 18:45:48.760000,-932208897,449210511,921.0,1.0,Weekday,Weekday,61
120161004-2646-11,120161004,2016-10-04 18:45:53.393000,-932208651,449209175,2016-10-04 19:30:49.230000,-931684799,450125812,921.0,4.0,Weekday,Weekday,66
120161004-2646-12,120161004,2016-10-04 19:31:26.000000,-931683017,450127654,2016-10-04 20:23:25.337000,-932204810,449212491,921.0,1.0,Weekday,Weekday,71
120161004-2646-13,120161004,2016-10-04 20:23:46.693000,-932208896,449209721,2016-10-04 21:10:18.203000,-931685128,450124391,921.0,4.0,Weekday,Weekday,67
120161004-2646-14,120161004,2016-10-04 21:10:28.000000,-931682258,450127614,2016-10-04 22:02:25.267000,-932204343,449212620,921.0,1.0,Weekday,Weekday,73
120161004-2646-15,120161004,2016-10-04 22:02:48.000000,-932203625,449210750,2016-10-04 22:50:45.660000,-931684974,450125658,921.0,4.0,Weekday,Weekday,69
120161004-2646-16,120161004,2016-10-04 22:51:45.207000,-931682091,450122522,2016-10-04 23:35:33.477000,-932206502,449213185,921.0,1.0,Weekday,Weekday,63
120161004-2646-17,120161004,2016-10-04 23:35:42.073000,-932208566,449209631,2016-10-05 00:22:00.057000,-931684055,450124868,921.0,4.0,Weekday,Weekday,63
120161004-2646-18,120161004,2016-10-05 00:22:12.000000,-931680661,450128974,2016-10-05 01:45:08.437000,-932417452,448654761,921.0,1.0,Weekday,Weekday,100
120161005-2646-00,120161005,2016-10-05 08:39:46.773000,-932878057,449861196,2016-10-05 08:59:24.970000,-932206022,449213119,921.0,1.0,Weekday,Weekday,24
120161005-2646-01,120161005,2016-10-05 08:59:37.857000,-932208335,449208979,2016-10-05 09:34:52.860000,-931683030,450127253,921.0,4.0,Weekday,Weekday,58
120161005-2646-02,120161005,2016-10-05 09:35:51.047000,-931680901,450122910,2016-10-05 10:09:32.047000,-932204844,449212484,921.0,1.0,Weekday,Weekday,81
120161005-2646-03,120161005,2016-10-05 10:10:14.853000,-932208620,449209386,2016-10-05 10:46:17.467000,-931683742,450126801,921.0,4.0,Weekday,Weekday,48
120161005-2646-04,120161005,2016-10-05 10:46:37.107000,-931682030,450122787,2016-10-05 11:28:06.523000,-932204570,449212890,921.0,1.0,Weekday,Weekday,60
120161005-2646-05,120161005,2016-10-05 11:28:29.283000,-932208399,449209464,2016-10-05 12:13:32.340000,-931685418,450126277,921.0,4.0,Weekday,Weekday,59
